,name,birthplace,birth_place
20836,Mudhoney,"Seattle, Washington, United States",
20837,Barbara Carroll,"Worcester, Massachusetts, U.S.",
20838,Robert Gay,,
20839,Aster Aweke,"Gondar, Ethiopia",
20840,Lana Beeson,,
20841,Rhapsodia,,
20842,Xymox,,
20843,Chick Corea Akoustic Band,,
20844,Fapy Lafertin,"Kortrijk, Belgium",
20845,The Allman Joys,,
20846,Workshy,"London, England",
20847,Clouseau,,
20848,CeCe Rogers,"Cleveland, Ohio, United States",
20849,Evildead,"Los Angeles, California",
20850,Outburst,,
20851,Oscar Benton,The Hague,
20852,Vain,,
20853,Kombinaciya,"Saratov, Soviet Union",
20854,Margalo Gillmore,"London, England",
20855,The Cyrkle,"Easton, Pennsylvania, United States",
20856,k.d.lang & The Reclines,,
20857,Noir Désir,"Bordeaux, Nouvelle-Aquitaine|Aquitaine, Occitania, France",
20858,Christopher Boscole,,
20859,Steve Morse,Hamilton,
20860,MK,,
20861,เรนโบว์,,
20862,The Beloved,,
20863,La Frontera,,
20864,Peret,Mataró,
20865,English Chamber Orchestra,,
20866,Extremoduro,"Plasencia, Extremadura, Spain",
20867,Junkyard Band,,
20868,The 31st Of February,,
20869,The U.S. Air Force,,
20870,Richard Bryan,,
20871,Gabinete Caligari,"Madrid, Spain",
20872,Al Stillman,New York City,
20873,Marina,Miyazaki Prefecture,
20874,Ijahman Levi,"Christiana, Jamaica|Christiana, Manchester, Jamaica",
20875,Mariachi Nuevo Tecalitlan,,
20876,SANDRA REAVES-PHILLIPS AND CAST,,
20877,Lee Roy Parnell,Abilene,
20878,Poi Dog Pondering,Hawaii,
20879,Hildemaro y Su Orquesta,,
20880,Sonora Malecón,,
20881,Khaled,Oran,
20882,Sonia,,
20883,Pupy Santiago,,
20884,BBC Philharmonic,,
20885,The Field Mice,"London, England",
20886,The 4 Of Us,,
20887,D Mob,"Cobridge, Stoke On Trent, Staffordshire, England",
20888,The Buddy Holly Story - Original London Cast,,
20889,Walter Beasley,"El Centro, California, United States",
20890,Shakespears Sister,"London, England",
20891,David Newman,New York City,
20892,La Dinastia de Tuzantla,,
20893,Low Profile,"Los Angeles, California, United States",
20894,Chill Rob G.,,
20895,Nike Ardilla,"Bandung, West Java, Indonesia",
20896,The Frogs,,
20897,Ti-Ti Nalle,,
20898,"Santiago Jimenez, Jr.",,
20899,Escape With Romeo,,
20900,"James ""J.T."" Taylor","Laurens, South Carolina, U.S.",
20901,Jorge Muñiz,Mexico City México,
20902,Stezo,,
20903,Richard A. Whiting,Peoria,
20904,The St. Thomas Choir of Men and Boys,,
20905,Tuula Amberla,,
20906,The Delta Rhythm Boys,{{flagicon|United States}} United States,
20907,The Union Gap,,
20908,Juanita Burbano,,
20909,Werner Brüggermann,,
20910,Cats In Boots,,
20911,L-Duke,,
20912,Beyond,Hong Kong,Hong Kong
20913,DERYL DODD,,
20914,Alone in a Crowd,,
20915,Vico C,"Brooklyn, New York (state)|New York, U.S.",
20916,Kool G Rap,Queens,
20917,Ensamble Latino,,
20918,Ezio Pinza,"Rome, Italy",
20919,Jimmy Somerville,Glasgow,
20920,Sueño Latino,,
20921,Rainhard Fendrich,Vienna,
20922,Maggotron Crushing Crew,,
20923,S. Cahn,,
20924,The Original Canton Spirituals,,
20925,Vina Panduwinata,"Bogor, West Java, Indonesia",
20926,Blues Trottoir,,
20927,Yoshikazu Iwamoto,,
20928,Ken Lonnquist,,
20929,Webb Wilder,Hattiesburg,
20930,Alen Slavica,,
20931,The Second Coming,,
20932,ศรัณย่า,,
20933,Ram Narayan,Udaipur,
20934,The Innocence Mission,"Lancaster, Pennsylvania, United States",
20935,Buddy Clark,Dorchester,
20936,The Crack,,
20937,Adrian Belew,Covington,
20938,Billy Ogan,Thailand,
20939,Leandro & Leonardo,,
20940,Eddie Jefferson,"Pittsburgh, Pennsylvania, U.S.",
20941,Ahmed Arif,Diyarbakır,
20942,Deliverance,,
20943,Patrick Bernard,Algiers,
20944,H. Rome,,
20945,Gervasio,Cerro Largo Department,
20946,Henry Thomas,Big Sandy,
20947,Fumio Miyashita,,
20948,Teddy Riley,New York City,
20949,Ann Charlotte Berntsson,,
20950,Bajaga & Instruktori,,
20951,Powermad,"Minneapolis, Minnesota, U.S.",
20952,Anything Goes - 1989 London Cast,,
20953,Renegade Soundwave,London,
20954,조정현,,
20955,Sheryl Cruz,Makati,
20956,Los Norteñitos de Ojinaga,,
20957,Basilio,,
20958,Remmy Ongala,,
20959,Allman & Woman,,
20960,Savuka,"Johannesburg, South Africa",
20961,The Boys In The Band,,
20962,Tania Libertad,"Zaña, Lambayeque Region, Peru",
20963,Kofi,Akan people,
20964,Presuntos Implicados,"Yecla, Region of Murcia|Murcia, Spain",
20965,M. Curtis,,
20966,Nemesis,,
20967,Bharati Upadhya,,
20968,Virgil Meares,,
20969,Kim Waters,,
20970,European Jazz Trio,,
20971,Hugo Blanco y su Conjunto,,
20972,Mother Love Bone,"Seattle, Washington (state)|Washington, United States|USA",
20973,Tina Trucker,,
20974,Harlem Yu,Taipei,
20975,Lisa Marie,,
20976,Philippe Lafontaine,Gosselies,
20977,Proxyon,,
20978,Rebirth Brass Band,"Tremé|Treme, New Orleans, Louisiana, United States",
20979,Tish Hinojosa,San Antonio,
20980,J.J. Johnson Quartet,,
20981,The Royal Coachmen,,
20982,David Lee Murphy,Herrin,
20983,Joe McCoy,,
20984,Judson Spence,,
20985,Coldcut,,
20986,Frank Loesser,New York City,
20987,Pale Saints,"Leeds, England",
20988,Stan Freberg,Pasadena,
20989,Nilüfer,,
20990,Crispin Glover,New York City,
20991,Success-N-Effect,,
20992,Angry Anderson,"Melbourne, Victoria (Australia)|Victoria, Australia",
20993,Paul Laurence,New York,
20994,Ray Anthony & His Orchestra,"Bentleyville, Pennsylvania, United States",
20995,Black Bottom Stompers,,
20996,Tony Bavaar,,
20997,Haakon Pedersen,,
20998,Vonda Shepard,New York City,
20999,University of Oklahoma Bands,,
21000,Paul Revere,"North End, Boston|North End, Boston, Province of Massachusetts Bay|Massachusetts Bay, British America",
21001,Dominique Droin,,
21002,Don Bryant,Memphis,
21003,Jaime Y Los Chamacos,,
21004,Maria McKee,Los Angeles,
21005,The Orchids,,
21006,Hans Söllner,Bad Reichenhall,
21007,Louis Bellson,,
21008,Widespread Panic,"Athens, Georgia, USA",
21009,Jeanne Cotter,,
21010,Shelby Lynne,Quantico,
21011,Ray Sepulveda,,
21012,Gloria Lasso,Vilafranca del Penedès,
21013,Franco Zeffirelli's Production Of Romeo & Juliet: Music From The Motion Picture,,
21014,Grup M. Şanlıel,,
21015,A.C. Marias,"London, England",
21016,Benny Goodman Quintet,,
21017,Peter Pan Orchestra,,
21018,Xentrix,"Preston, Lancashire, England",
21019,Jenny Morris,Tokoroa,
21020,LP,"Long Island, New York (state)|New York, U.S.","Long Island, New York (state)|New York, U.S."
21021,Trivendram Sisters,,
21022,Rufus Smith,,
21023,Baaba Maal,"Podor, French West Africa",
21024,Torsson,,
21025,Ratos De Porão,,
21026,Ali Hassan Kuban,,
21027,Arty McGlynn / Nollaig Casey,,
21028,Michael Morales,,
21029,The Jesus Lizard,"Austin, Texas, United States",
21030,Jannicke Irwin Abrahamsen,,
21031,Eddie Boyd,"Shelby, Mississippi|Shelby ''or'' near Stovall, Mississippi|Stovall, Mississippi, United States",
21032,Twenty 4 Seven Ft. Capt. Hollywood,,
21033,Wrathchild America,"Martinsburg, West Virginia|Martinsburg, West Virginia, United States|USA",
21034,Karen Wheaton,,
21035,The Friends of Natasha,,
21036,The Starbugs,,
21037,Yanka,,
21038,Bat & Ryyd,,
21039,Keiko Matsui,Tokyo,
21040,Top Vice,,
21041,Objetivo Birmania,,
21042,Big Drill Car,"Costa Mesa, California, United States",
21043,Richard Souther,,
21044,Scott Nygaard,,
21045,David Schnaufer,,
21046,Kalenda Maya,,
21047,Johnnie Ray,Dallas,
21048,Tom Astor,"Schmallenberg, North Rhine-Westphalia, West Germany",
21049,L. Morey,,
21050,Jesus Jones,"Bradford-on-Avon, Wiltshire, England",
21051,Doro,Düsseldorf,
21052,Mitch Miller & His Orchestra & Chorus,"Rochester, New York, U.S.",
21053,Barry Adamson,Manchester,
21054,Sridevi Kapoor,,
21055,Tauski Peltonen,,
21056,Henrik Janson,"Karlstad, Sweden",
21057,Art Fact,,
21058,Ib Grønbech,,
21059,The Jason Bonham Band,,
21060,Tom Barabas,Budapest,
21061,Bongwater,,
21062,Peter Pan Ensemble,,
21063,The Real Group,"Stockholm, Sweden",
21064,Tim Clark,,
21065,West Angeles Cogic Mass Choir And Congregation,,
21066,Vital Signs,,
21067,Jack Ingram,Houston,
21068,Sarah Brightman,Berkhamsted,
21069,MC 900 Ft. Jesus,"Kentucky, U.S.",
21070,Hurriganes,"Helsinki, Finland",
21071,Bananarama,"London, England",
21072,Mark Lowry,Houston,
21073,Gun,,
21074,Lyube,,
21075,Matti Esko,,
21076,Mauricio Venegas Astorga,,
21077,Kix Brooks,Shreveport,
21078,Shlomi Shabat,Yehud,
21079,Mamady Keïta,,
21080,Alamgir,,
21081,Sigmund Romberg,Nagykanizsa,
21082,Perri,,
21083,Conjunto Alameda de Oscar Padilla,,
21084,Ian Gillan,Chiswick,
21085,Mosley And Johnson,,
21086,Sanne Salomonsen,,
21087,Angelo Badalamenti,Brooklyn,
21088,Bamses Venner,"Aarhus, Denmark",
21089,Tonus Peregrinus,,
21090,Northern Lights,,
21091,John Catchings,,
21092,Grant Hart,Saint Paul,
21093,久保田麻琴,,
21094,The Rustavi Choir,,
21095,Bigger Thomas,,
21096,Hakan Peker,"Istanbul, Turkey",
21097,Fastbacks,"Seattle|Seattle, Washington, United States",
21098,Steve Jordan,New York City,
21099,Sidewinders,,
21100,The Klezmorim,"Berkeley, California|Berkeley, California, United States",
